menu_item_id,restaurant_id,item_name,units_sold,revenue,estimated_profit,profit_margin_percentage,average_rating,wastage_ratio,actual_class
11,11,Menu Item 011,8871,10189641.65,5308219.75,52.09427310920203,4.225848563968668,0.08291119611289155,Profit Driver
13,13,Menu Item 013,13267,8102745.46,2934800.0900000003,36.21982332393298,4.153977758768178,0.05492235361162559,Volume Driver
18,18,Menu Item 018,2760,1540800.57,615152.78,39.9242310768356,4.114035087719298,0.26360725720384204,Low Performer
26,6,Menu Item 026,14016,14805239.05,6279790.98,42.41600529915118,4.197301854974705,0.06222400642312324,Volume Driver
27,7,Menu Item 027,6782,4917012.77,2565136.2,52.16858934454223,4.225688073394496,0.11415882967607105,Profit Driver
53,13,Menu Item 053,7995,3789488.59,1401282.89,36.97815303357333,4.152923538230884,0.09425625920471281,Volume Driver
55,15,Menu Item 055,2490,4491614.62,2161049.12,48.11296833832107,4.290816326530612,0.25022583559168926,Hidden Opportunity
60,20,Menu Item 060,2831,2266313.76,1303822.84,57.53055305104797,4.269406392694064,0.24466382070437567,Hidden Opportunity
64,4,Menu Item 064,5680,2316534.06,858117.3800000001,37.04315834665518,4.156118143459915,0.13295680048847505,Volume Driver
67,7,Menu Item 067,3601,3778174.35,1469666.4600000002,38.89885229886229,4.231012658227848,0.1882326420198377,Low Performer
69,9,Menu Item 069,17679,4638816.01,2958580.79,63.77879147657767,4.226578073089701,0.04251516464471404,Profit Driver
71,11,Menu Item 071,13359,12131462.02,5876694.649999999,48.44176769717983,4.231949458483754,0.05536699193890539,Profit Driver
81,1,Menu Item 081,3935,3439451.04,1392191.16,40.47713265312245,4.141618497109826,0.18496271748135873,Low Performer
82,2,Menu Item 082,5666,5815068.03,2400036.94,41.27272333905954,4.184381778741866,0.11703288140875799,Volume Driver
90,10,Menu Item 090,9387,3405054.67,1605622.5,47.15408871834648,4.170212765957447,0.08401639344262295,Volume Driver
95,15,Menu Item 095,12836,15984103.04,7152487.19,44.74750426784036,4.189608021877849,0.06436329178511553,Volume Driver
97,17,Menu Item 097,2262,1838927.26,796673.63,43.322737518176766,4.189473684210526,0.2793883402357439,Low Performer
98,18,Menu Item 098,13490,9202390.76,4149405.45,45.09051569551041,4.230246389124893,0.05677527618514893,Volume Driver
102,2,Menu Item 102,8563,13796366.58,7120231.37,51.60946781685182,4.163072776280323,0.09938998737904922,Profit Driver
107,7,Menu Item 107,6879,6104369.59,2847232.19,46.64252627600158,4.252173913043478,0.11886768284872551,Volume Driver
109,9,Menu Item 109,2375,1135170.18,602261.52,53.05473404877497,4.166666666666667,0.2998231132075472,Hidden Opportunity
114,14,Menu Item 114,13647,11566862.05,4126008.69,35.6709423192265,4.225021720243267,0.0646974162154753,Volume Driver
117,17,Menu Item 117,18755,16703237.0,8524986.87,51.03793276716363,4.203095975232198,0.045109719464385724,Profit Driver
122,2,Menu Item 122,2897,4314457.69,1882867.67,43.64088850295342,4.182203389830509,0.23298914482393435,Low Performer
125,5,Menu Item 125,14841,26764017.34,9830793.000000002,36.73138032722558,4.240285487708168,0.04950685282438837,Volume Driver
127,7,Menu Item 127,27781,21167393.54,11858040.17,56.02031325959842,4.198053322048244,0.030128473676860775,Profit Driver
129,9,Menu Item 129,2203,511948.84,288518.94,56.35698676453686,4.173652694610778,0.2807704864511916,Hidden Opportunity
134,14,Menu Item 134,1673,1237136.76,749908.0800000001,60.61642530127389,4.259740259740259,0.3392575039494471,Hidden Opportunity
141,1,Menu Item 141,3914,1844889.79,848350.13,45.98378367089342,4.190058479532164,0.18746107535810672,Low Performer
146,6,Menu Item 146,5549,6639592.65,2509348.35,37.7937093776378,4.185567010309279,0.14234930448222566,Low Performer
