customer_id,recency_days,total_orders,total_spend,average_order_value,discount_dependency,promo_dependency,top_category_share,unique_categories,actual_churn
44495,92,5.0,39814.59,7962.918,0.02462790650362091,0.0,0.4,3,1
25546,81,4.0,47784.78,11946.195,0.056489116409032335,0.0,0.5333333333333333,3,1
5543,5,3.0,19528.6,6509.533333333333,0.03621713794127587,0.0,0.358974358974359,3,0
8257,105,2.0,16053.91,8026.955,0.13005928150836774,0.0,0.7777777777777778,2,1
34895,127,3.0,41916.46,13972.153333333334,0.0511884829968943,0.3333333333333333,0.3902439024390244,3,1
48011,28,2.0,29720.38,14860.19,0.06766400698779759,0.5,0.5517241379310345,2,0
16986,35,4.0,38600.44,9650.11,0.02890562905500559,0.0,0.19767441860465115,6,0
13382,335,1.0,13322.68,13322.68,0.0,0.0,1.0,1,1
8465,60,5.0,67407.84999999999,13481.569999999998,0.020020961950277305,0.2,0.23076923076923078,5,0
23800,37,4.0,63737.88,15934.47,0.0,0.0,0.5230769230769231,2,0
32224,256,3.0,35597.76,11865.92,0.05842361991316307,0.0,0.36585365853658536,3,1
19507,206,2.0,18309.96,9154.98,0.09869819486224984,0.5,0.6071428571428571,2,1
26264,176,2.0,28852.71,14426.355,0.0,0.0,0.6071428571428571,2,1
45974,91,2.0,20141.07,10070.535,0.0,0.0,0.27586206896551724,4,1
25381,36,2.0,24780.32,12390.16,0.041004313100072964,0.5,0.52,2,0
15184,53,4.0,42063.43,10515.8575,0.06041804008850444,0.0,0.22535211267605634,5,0
4577,208,2.0,15364.68,7682.34,0.0,0.0,0.5172413793103449,2,1
37110,4,2.0,22124.62,11062.31,0.07608718251432116,0.5,0.5185185185185185,2,0
48393,71,2.0,21810.19,10905.095,0.0,0.0,0.3829787234042553,3,1
7213,185,1.0,6197.11,6197.11,0.0,0.0,1.0,1,1
14144,285,3.0,39416.92,13138.973333333332,0.0012020218728403945,0.3333333333333333,0.42857142857142855,3,1
13221,331,1.0,12543.3,12543.3,0.05012556504269212,0.0,0.5357142857142857,2,1
47914,219,1.0,7714.07,7714.07,0.0,0.0,0.5217391304347826,2,1
38640,154,2.0,21452.300000000003,10726.15,0.09512359980048758,0.5,0.5714285714285714,2,1
10102,201,3.0,21956.64,7318.88,0.0,0.0,0.484375,3,1
34149,45,2.0,21417.95,10708.975,0.13867900522692414,0.5,0.5161290322580645,2,0
3010,273,1.0,15936.35,15936.35,0.12455675233036423,1.0,1.0,1,1
35966,274,1.0,8157.58,8157.58,0.012942563848592352,1.0,0.5172413793103449,2,1
23307,181,1.0,8252.43,8252.43,0.10581974036738269,0.0,1.0,1,1
44287,232,1.0,5878.61,5878.61,0.0,0.0,0.5,2,1
44823,38,2.0,21017.38,10508.69,0.03434871520617698,0.0,0.5333333333333333,2,0
40069,250,1.0,9660.03,9660.03,0.0,0.0,0.5,2,1
37304,27,3.0,38083.6,12694.533333333333,0.05973358611055678,0.0,0.37209302325581395,3,0
13021,6,4.0,49657.81,12414.4525,0.012214996996444264,0.25,0.2857142857142857,4,0
31846,223,1.0,8371.51,8371.51,0.05012476841095573,0.0,1.0,1,1
21998,119,3.0,30131.38,10043.793333333331,0.06479358064582505,0.0,0.2777777777777778,4,1
32696,27,4.0,47881.14,11970.285,0.012508682959511824,0.0,0.25,4,0
38464,261,1.0,5928.14,5928.14,0.0501253344219266,0.0,0.6176470588235294,2,1
12087,148,2.0,28674.63,14337.315,0.04807664475531157,0.5,1.0,1,1
29378,18,4.0,44611.99,11152.9975,0.0,0.0,0.48,3,0
37346,191,2.0,20991.58,10495.79,0.04174292740232036,0.5,0.37254901960784315,3,1
13449,57,4.0,54733.51,13683.3775,0.01628983779772209,0.0,0.5,3,0
15633,241,1.0,12063.02,12063.02,0.05012509305298341,0.0,1.0,1,1
19238,254,1.0,4704.69,4704.69,0.16806633380732847,0.0,1.0,1,1
21886,111,2.0,17146.86,8573.43,0.004879027413765552,0.5,0.5517241379310345,2,1
24595,9,2.0,14260.88,7130.44,0.1419344388284594,0.0,0.6,2,0
29933,16,3.0,40820.66,13606.886666666664,0.025104199687119216,0.3333333333333333,0.3488372093023256,3,0
2438,156,4.0,47011.630000000005,11752.9075,0.09111958041020914,0.5,0.75,2,1
6671,65,4.0,37907.25,9476.8125,0.04130819302376195,0.0,0.2830188679245283,4,1
8233,248,1.0,5494.68,5494.68,0.05012484803482641,0.0,1.0,1,1
18776,330,1.0,3443.75,3443.75,0.0,0.0,0.5357142857142857,2,1
11406,77,3.0,26003.82,8667.94,0.024922107598037518,0.6666666666666666,0.4,3,1
8980,41,6.0,66941.93000000001,11156.988333333336,0.022523551382519144,0.0,0.3170731707317073,5,0
43992,20,4.0,51993.84,12998.46,0.09993933896784696,0.25,0.29508196721311475,4,0
41944,3,3.0,40607.87,13535.956666666663,0.010339867616794477,0.0,0.6792452830188679,2,0
8090,222,1.0,10419.03,10419.03,0.03302418747234627,1.0,1.0,1,1
11007,17,6.0,55423.17,9237.195,0.10513148201374985,0.16666666666666666,0.34444444444444444,5,0
24851,58,2.0,13104.58,6552.29,0.022884365618737877,0.0,0.5555555555555556,2,0
32031,90,2.0,13349.08,6674.54,0.07445831473030351,0.0,0.38636363636363635,3,1
11975,22,2.0,18467.12,9233.56,0.0,0.0,0.5757575757575758,2,0
31897,6,4.0,53513.93,13378.4825,0.07665499431643313,0.25,0.24675324675324675,5,0
34412,116,2.0,14376.16,7188.08,0.0,0.0,0.5333333333333333,2,1
