customer_id,recency_days,total_orders,total_spend,average_order_value,discount_dependency,promo_dependency,top_category_share,unique_categories,actual_churn,python_predicted_churn,python_churn_probability,pipeline_predicted_churn,pipeline_probability,match,explanation
44495,92,5.0,39814.59,7962.918,0.0246279065036209,0.0,0.4,3,1,1,0.9999999999999842,1,0.9999999999999991,True,
25546,81,4.0,47784.78,11946.195,0.0564891164090323,0.0,0.5333333333333333,3,1,1,0.9999999981722982,1,0.9999999997549085,True,
5543,5,3.0,19528.6,6509.533333333333,0.0362171379412758,0.0,0.358974358974359,3,0,0,8.100756641745357e-26,0,2.8295804020680273e-28,True,
8257,105,2.0,16053.91,8026.955,0.1300592815083677,0.0,0.7777777777777778,2,1,1,1.0,1,1.0,True,
34895,127,3.0,41916.46,13972.153333333334,0.0511884829968943,0.3333333333333333,0.3902439024390244,3,1,1,1.0,1,1.0,True,
48011,28,2.0,29720.38,14860.19,0.0676640069877975,0.5,0.5517241379310345,2,0,0,1.375839474090985e-15,0,6.418978874778937e-17,True,
16986,35,4.0,38600.44,9650.11,0.0289056290550055,0.0,0.1976744186046511,6,0,0,3.2105362665251918e-12,0,1.1836327277133205e-12,True,
13382,335,1.0,13322.68,13322.68,0.0,0.0,1.0,1,1,1,1.0,1,1.0,True,
8465,60,5.0,67407.84999999999,13481.569999999998,0.0200209619502773,0.2,0.2307692307692307,5,0,0,0.1779128456082178,0,0.3312969161876403,True,
23800,37,4.0,63737.88,15934.47,0.0,0.0,0.5230769230769231,2,0,0,3.396433313666452e-12,0,1.3430235585239332e-13,True,
32224,256,3.0,35597.76,11865.92,0.058423619913163,0.0,0.3658536585365853,3,1,1,1.0,1,1.0,True,
19507,206,2.0,18309.96,9154.98,0.0986981948622498,0.5,0.6071428571428571,2,1,1,1.0,1,1.0,True,
26264,176,2.0,28852.71,14426.355,0.0,0.0,0.6071428571428571,2,1,1,1.0,1,1.0,True,
45974,91,2.0,20141.07,10070.535,0.0,0.0,0.2758620689655172,4,1,1,0.9999999999999976,1,1.0,True,
25381,36,2.0,24780.32,12390.16,0.0410043131000729,0.5,0.52,2,0,0,5.509335331106904e-12,0,5.565146997623195e-13,True,
15184,53,4.0,42063.43,10515.8575,0.0604180400885044,0.0,0.2253521126760563,5,0,0,0.0002984773223903,0,0.00036659163448349617,True,
4577,208,2.0,15364.68,7682.34,0.0,0.0,0.5172413793103449,2,1,1,1.0,1,1.0,True,
37110,4,2.0,22124.62,11062.31,0.0760871825143211,0.5,0.5185185185185185,2,0,0,1.3073556512366603e-26,0,4.659589905299775e-29,True,
48393,71,2.0,21810.19,10905.095,0.0,0.0,0.3829787234042553,3,1,1,0.9999933994818158,1,0.9999986703264204,True,
7213,185,1.0,6197.11,6197.11,0.0,0.0,1.0,1,1,1,1.0,1,1.0,True,
14144,285,3.0,39416.92,13138.973333333332,0.0012020218728403,0.3333333333333333,0.4285714285714285,3,1,1,1.0,1,1.0,True,
13221,331,1.0,12543.3,12543.3,0.0501255650426921,0.0,0.5357142857142857,2,1,1,1.0,1,1.0,True,
47914,219,1.0,7714.07,7714.07,0.0,0.0,0.5217391304347826,2,1,1,1.0,1,1.0,True,
38640,154,2.0,21452.300000000003,10726.15,0.0951235998004875,0.5,0.5714285714285714,2,1,1,1.0,1,1.0,True,
10102,201,3.0,21956.64,7318.88,0.0,0.0,0.484375,3,1,1,1.0,1,1.0,True,
34149,45,2.0,21417.95,10708.975,0.1386790052269241,0.5,0.5161290322580645,2,0,0,7.638432235566464e-08,0,1.966356372468629e-08,True,
3010,273,1.0,15936.35,15936.35,0.1245567523303642,1.0,1.0,1,1,1,1.0,1,1.0,True,
35966,274,1.0,8157.58,8157.58,0.0129425638485923,1.0,0.5172413793103449,2,1,1,1.0,1,1.0,True,
23307,181,1.0,8252.43,8252.43,0.1058197403673826,0.0,1.0,1,1,1,1.0,1,1.0,True,
44287,232,1.0,5878.61,5878.61,0.0,0.0,0.5,2,1,1,1.0,1,1.0,True,
44823,38,2.0,21017.38,10508.69,0.0343487152061769,0.0,0.5333333333333333,2,0,0,6.961190218036861e-11,0,6.303328203568201e-12,True,
40069,250,1.0,9660.03,9660.03,0.0,0.0,0.5,2,1,1,1.0,1,1.0,True,
37304,27,3.0,38083.6,12694.533333333333,0.0597335861105567,0.0,0.3720930232558139,3,0,0,2.8474693034253376e-16,0,9.170361097758482e-18,True,
